"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Hyldon","1485","AS DORES DO MUNDO","O teu olhar caiu no meu a tua...","BRA","18A"
"Hyldon","1326","NA SOMBRA DE UMA ÁRVORE","Larga de ser boba e vem...","BRA","17A"
"Icehouse","19937","NO PROMISES","A winter palace from the Arabian night","EUA","INT10D"
"Ichikawa Yukino","2126","BOTAN YUKI","Ai o nakushite ikirareru hodo...","JAP","JP4D"
"Ichikawa Yukino","2177","KIZUNA ZAKA","Anata to nagashita...","JAP","JP4E"
"Iggy Pop","9210","CANDY","It's a rainy afternoon in...","EUA",""
"Igreja Bíblica da Paz","7758","CONFIANÇA","Sei que observas o meu...","BRA","EVD"
"Igreja Bíblica da Paz","7852","OFEREÇO MINHA VIDA","Tudo o que sou tudo o que...","BRA","EVC"
"Igreja Bíblica da Paz","7847","O SENHOR TE LIVRARÁ","O Senhor te livrará o Senhor...","BRA","EVC"
"Ikeda Teruo","2400","YUNO SATO SHIGURE","Kosame ni nijinda yukemuri ga...","JAP","JP5E"
"Ikimono Gakari","18285","ARIGATOH","Uchi metcha kowagari yanen...","JAP","JP6C"
"Ikimono Gakari","18325","ARUITE IKOU","Aruite yukoh aruite yukoh...","JAP","JP6D"
"Ikimono Gakari","18667","SAKURA","Sakura hira hira mai orite ochi","JAP","JP8D"
"Il Divo - Celine Dion","19448","I BELIEVE IN YOU (JE CROIS EN TOI)","Lonely the path you have chosen
","EUA","INT07D"
"Imaginasamba","15938","ESCONDIDINHO","Eu tô no pagode todo arrumado
","BRA","28D"
"Imaginasamba","7206","PÁRA DE PIRRAÇA","Pra ter felicidade preciso de...","BRA","9C"
"Imaginasamba - Simone e Simaria","16384","FICA","Depois dessas bobagens que voce falou","BRA","31C"
"Imagination","9226","JUST AN ILLUSION","Illusion... illusion... Searching for a...","EUA",""
"Imagine Dragons","19922","BELIEVER","First things first Im say all the words","EUA","INT10D"
"Imagine Dragons","19431","DEMONS","When the days are cold and the cards all fold
","EUA","INT07C"
"Imagine Dragons","19338","I BET MY LIFE","I know I took the path that...","EUA","INT07A"
"Imagine Dragons","20086","ITS TIME","So this is what you meant","EUA","INT11D"
"Imagine Dragons","19225","ON TOP OF THE WORLD","If you love somebody...","EUA","INT06B"
"Imagine Dragons","19905","RADIOACTIVE","I m waking up to ash and dust","EUA","INT10C"
"Imagine Dragons","19776","THUNDER","Just a young gun with a quick fuse","EUA","INT09D"
"Imagine Dragons - JID","20535","ENEMY","I wake up to the sounds","EUA","INT14K"
"Imai Miki","18209","GOODBYE YESTERDAY","Goodbye yesterday umare...","JAP","JP6A"
"Imai Miki","18254","HITOMI GA HOHOEMU KARA","Nee kono yo ni umarete...","JAP","JP6B"
"Imai Miki","2387","PIECE OF MY WISH","Asa ga kuru made...","JAP","JP5E"
"Imai Miki","5783","PRIDE","Watashi wa ima...","JAP","JP3"
"Imai Miki","18275","SHIAWASE NI NARITAI","Juhji chohdo no bin de kanojo...","JAP","JP6B"
"Imperatriz Leopoldinense","15126","LIBERDADE, LIBERDADE, ABRE AS ASAS SOBRE NÓS","Liberdade liberdade abra as...","BRA","23D"
"Império Serrano","15448","BUMBUM PATICUMBUM PRUGURUNDUM","Bumbum paticumbum...","BRA","25D"
"Inaba Akira","18439","WAKARE","Shiroi ryokoh kaban o watasu...","JAP","JP7B"
"Inaba Akira","5097","WAKATE KUDASAI","Anatano aishita hitono...","JAP","JP1"
"Inezita Barroso","4277","LUAR DO SERTÃO","Não há ó gente ó não luar...","BRA","4A"
"Inezita Barroso","15259","MODA DA PINGA","Com a marvada pinga é que eu...","BRA","24C"
"Infantil","1034","ADOLETÁ","Ado-le-ta lê peti lê tomá...","BRA","INF1B"
"Infantil","7506","A HISTÓRIA DA SERPENTE","Essa é a história da serpente...","BRA","INF1A"
"Infantil","7507","A JANELINHA","A janelinha fecha quando está...","BRA","INF1A"
"Infantil","5273","AKA TONBO","Yuyake koyake no aka tonbo...","JAP","JP1"
"Infantil","5232","ANTAGATA DOKOSSA","Antagata dokossa higossa...","JAP","JP1"
"Infantil","7512","BORBOLETINHA","Borboletinha tá na cozinha...","BRA","INF1A"
"Infantil","1040","CAI CAI BALÃO","Cai cai balão cai cai balão...","BRA","INF1B"
"Infantil","1042","COELHINHO DE OLHOS VERMELHOS","De olhos vermelhos de pêlo...","BRA","INF1B"
"Infantil","7522","DEIXEI MEU SAPATINHO","Deixei meu sapatinho na...","BRA","INF1A"
"Infantil","5278","DODYOKO FUNAKO","Haru ni nareba shiagkomo...","JAP","JP1"
"Infantil","5279","DOKOKA DE HARUGA","Dokoka de haruga umareteru...","JAP","JP1"
"Infantil","7525","DONA ARANHA","A dona Aranha subiu pela...","BRA","INF1A"
"Infantil","18290","DONGURI KORO KORO","Konna tooi machi ni mo yume...","JAP","JP6C"
"Infantil","1049","FUI MORAR NUMA CASINHA","Fui morar numa casinha nha...","BRA","INF1B"
"Infantil","7529","GARIBALDI","Garibaldi foi à missa num...","BRA","INF1A"
"Infantil","5235","HANA ITIMONME","Furussato matomete hana...","JAP","JP1"
"Infantil","5237","HIRAITA HIRAITA","Hiraita hiraita nanno hana ga...","JAP","JP1"
"Infantil","18297","KAMOME NO SUIHEI SAN","Johnny ga kita nara tsutaete...","JAP","JP6C"
"Infantil","5206","KUTSU GA NARU","Otete tsunaide nomiti o...","JAP","JP1"
"Infantil","18306","MEDAKA NO GAKKOH","Moh sukoshi nee moh sukoshi...","JAP","JP6C"
"Infantil","1051","MEU LANCHINHO","Meu lanchinho meu lanchinho...","BRA","INF1B"
"Infantil","1052","MEU PINTINHO AMARELINHO","Meu pintinho amarelinho...","BRA","INF1B"
"Infantil","5211","NANATSU NO KO","Karassu naze nakuno karassu...","JAP","JP1"
"Infantil","5213","OBORO ZUKIYO","Nano hana batakeni irihi...","JAP","JP1"
"Infantil","5257","OOKINA KURI NO KINO SHITADE","Ookina kuri no kino shitade...","JAP","JP1"
"Infantil","1056","O SAPO NÃO LAVA O PÉ","O sapo não lava o pé não lava...","BRA","INF1B"
"Infantil","1057","O SAPO UÁ QUÁ QUÁ","O sapo o sapo na beira da...","BRA","INF1B"
"Infantil","1058","O SÍTIO DO SEU LOBATO","Seu Lobato tinha um sítio...","BRA","INF1B"
"Infantil","7539","O TREM DE FERRO","O trem de ferro quando sai de...","BRA","INF1A"
"Infantil","7540","PAPAGAIO LORO","Papagaio loro do bico dourado...","BRA","INF1A"
"Infantil","1061","PIRULITO QUE BATE BATE","Pirulito que bate bate pirulito...","BRA","INF1B"
"Infantil","1062","PIUÍ PIUÍ PIUÍ","Piuí piuí piuí coloca a mão ...","BRA","INF1B"
"Infantil","1064","SAMBA LELÊ","Samba lelê tá doente...","BRA","INF1B"
"Infantil","18311","SHABON DAMA","You've broken my heart ame...","JAP","JP6C"
"Infantil","5225","TANABATASSAMA","Sassa no há sara sara nokiba...","JAP","JP1"
"Infantil","5265","TCHA TSUMI","Natsu mo tikazuku hatidyu...","JAP","JP1"
"Infantil","5298","TORIYANSE","Toryanse toryanse...","JAP","JP1"
"Infantil","5228","TYURIPPU","Saita, saita tyurippu no hana...","JAP","JP1"
"Infantil","1068","UM, DOIS, TRÊS INDIOZINHOS","Um dois três indiozinhos...","BRA","INF1B"
"Infantil","5310","ZUI ZUI ZUKKORO BASHI","Zui zui zukkoro bashi goma...","JAP","JP1"
"Infantil-Atchim e Espirro","7501","A BARATA DIZ QUE TEM","A barata diz que tem sete saias de filó","BRA","INF1A"
"Infantil-Atchim e Espirro","7503","A CANOA VIROU","A canoa virou fui deixar ela virar","BRA","INF1A"
"Infantil-Atchim e Espirro","7504","A GALINHA CANTORA","O Jumento descobriu que era um gênio","BRA","INF1A"
"Infantil-Atchim e Espirro","7513","CARANGUEJO","Caranguejo não é peixe caranguejo peixe","BRA","INF1A"
"Infantil-Atchim e Espirro","7516","CIRANDA CIRANDINHA","Ciranda cirandinha vamos todos cirandinha","BRA","INF1A"
"Infantil-Atchim e Espirro","7527","ESCRAVOS DE JÓ","Escravos de Jó jogavam caxangá","BRA","INF1A"
"Infantil-Atchim e Espirro","7528","FUI NO ITORORÓ","Eu fui no Itororó beber água e não achei","BRA","INF1A"
"Infantil-Atchim e Espirro","7531","KING KONG","Da da da que bonitinho king kong com o seu","BRA","INF1A"
"Infantil-Atchim e Espirro","7532","MARCHA SOLDADO","Marcha soldado cabeça de papel quem não","BRA","INF1A"
"Infantil-Atchim e Espirro","7533","MEU GALINHO","Faz três noites que eu não durmo lá lá","BRA","INF1A"
"Infantil-Atchim e Espirro","7534","MINHA VIOLA","Eu tirei um dó da minha viola da minha","BRA","INF1A"
"Infantil-Atchim e Espirro","7535","NESTA RUA TEM UM BOSQUE","Se essa rua se essa rua fosse minha eu","BRA","INF1A"
"Infantil-Atchim e Espirro","7536","O CIRCO DA ALEGRIA","Chegou chegou tá na hora da alegria","BRA","INF1A"
"Infantil-Atchim e Espirro","7537","O CRAVO BRIGOU COM A ROSA","O cravo brigou com a rosa debaixo de uma","BRA","INF1A"
"Infantil-Atchim e Espirro","7542","PEIXE VIVO","Como pode um peixe vivo viver fora da água","BRA","INF1A"
"Infantil-Atchim e Espirro","7546","QUEM TEM MEDO DO LOBO MAU","Quem tem medo do lobo mau lobo mau","BRA","INF1A"
"Infantil (Balão Mágico)","1036","ATIREI O PAU NO GATO","Atirei o pau no gato to...","BRA","INF1B"
"Infantil-Eliana","7519","CORRE COTIA","Vamos brincar de roda vamos vamos rodar","BRA","INF1A"
"Infantil-Eliana","1045","DEDINHOS (REMIX)","Ou ou... Dedinhos... Polegares polegares","BRA","INF1B"
"Infantil-Eliana","7543","PERNA E PÉ","Cabeça ombro perna e pé perna e pé","BRA","INF1A"
"Infantil Vs. Shuh Saeko","18308","MUSUNDE HIRAITE","Kure nazumu machi no hikari...","JAP","JP6C"
"Information Society","19849","REPETITION","Im coming back to you ","EUA","INT10B"
"Information Society","19794","RUNNING","Hot steamy night alone I wait for you","EUA","INT09D"
"Information Society","20669","SLIPPING AWAY","So I´ve been thinking of the way","EUA","INT15G"
"Information Society","20339","WALKING AWAY","Cold winds blow around me","EUA","INT13F"
"Information Society","9196","WHAT'S ON YOUR MIND","I wanna know what you're...","EUA","INT02-8F"
"Inimigos da HP","7289","A MUSA DA PRAIA","Tava correndo pela praia...","BRA","10C"
"Inimigos da HP","1104","BONS MOMENTOS","São seus olhos sua boca...","BRA","15B"
"Inimigos da HP","9625","BYE BYE","O que será que aconteceu pra...","BRA","14A"
"Inimigos da HP","1084","MIL PALAVRAS","Já procurei mil palavras pra...","BRA","15B"
"Inimigos da HP","9299","NOSSO FILME","Faz tanto tempo que eu te perdi...","BRA","12D"
"Inimigos da HP","9302","O DIA DO NOSSO AMOR","As nossas carícias aquelas que...","BRA","12E"
"Inimigos da HP","7713","TOCA UM SAMBA AÍ","Meu amor foi embora por isso...","BRA","11E"
"Inimigos da HP","9357","VEM BUSCAR O QUE É TEU","Estar apaixonado pode ser...","BRA","12B"
"Inimigos da HP","1480","ZOODSTOCK","O jacaré que escuta Bob Marley...","BRA","17D"
"Inimigos da HP-Edson e Hudson","1212","DE PEITO ABERTO PRA QUEM QUER ME AMAR","Foi passou doeu e não dói mais...","BRA","16B"
"Inimigos da HP - Sorriso Maroto","16671","A REGRA DO JOGO","Deixou sua marca em mim","BRA","33B"
"Inimigos do Rei","9381","ADELAIDE","Andava na rua à noite...","BRA","13C"
"Inimigos do Rei","3348","UMA BARATA CHAMADA KAFKA","Encontrei uma barata na...","BRA",""
"In Natura","15510","SORRISO DE FLOR","Tchu... Me abriu um sorriso...","BRA","26A"
"Inner Circle","20001","BAD BOYS","Bad boys bad boys what you gonna do","EUA","INT11B"
"Inner Circle","19369","BLACK ROSES","Whatever happened to my garden of black roses
","EUA","INT07B"
"Inner Circle","19735","GAMES PEOPLE PLAY","Na na na na na na na na","EUA","INT09C"
"Inner Circle","5983","SWEAT (A LA LA LA LA LONG)","I've been watching you...","EUA",""
"Inoue Yougui","5158","RIVERSIDE HOTEL","Daremo shiranai yoake ga...","JAP","JP1"
"Inoue Yumiko","2247","AKAI HATOBA","Akai hanabira nami ni chiru...","JAP","JP5B"
"Inoue Yumiko","18374","KAIKYOH SANBASHI","Yogisha o oritara soko kara...","JAP","JP7A"
"Inoue Yumiko","18583","MINATO NO HOTARU GUSA","Kiteki kiteki hito koe renrakusen ga
","JAP","JP8B"
"INXS","5858","AFTERGLOW","Here I am lost in the light...","EUA",""
"INXS","5860","ALL AROUND","I see the rising sun I feel the...","EUA",""
"INXS","2512","ALL THE VOICES","Deep down in my heart...","EUA","INT04A"
"INXS","19325","BEAUTIFUL GIRL","Nicky is in the corner with...","EUA","INT07A"
"INXS","9012","BY MY SIDE","In the dark of night those...","EUA",""
"INXS","9266","NEED YOU TONIGHT","(Come over here) is this...","EUA",""
"INXS","19500","NEVER TEAR US APART","Don't ask me what you know is true
","EUA","INT08A"
"INXS","5947","NEW SENSATION","Live baby live now that the...","EUA",""
"INXS","9146","NOT ENOUGH TIME","An' I was lost for words in...","EUA","INT02-8E"
"INXS","20336","SUICIDE BLONDE","Suicide blonde was the color of her hair","EUA","INT13F"
"IRA!","16701","15 ANOS","Quando me sinto assim","BRA","33C"
"IRA!","16542","BEBENDO VINHO","Eu vivo sozinho e apaixonado","BRA","32C"
"IRA!","6171","DIAS DE LUTA","Só depois de muito tempo fui...","BRA","5C"
"IRA!","17683","E ASSIM QUE ME QUEREM","Estou sonhando de olhos abertos","BRA","39N"
"IRA!","15295","ENTRE SEUS RINS","Te amo isso eu posso te dizer...","BRA","24D"
"IRA!","6056","ENVELHEÇO NA CIDADE","Mais um ano que se passa mais...","BRA","4H"
"IRA!","15227","EU VOU TENTAR","Hoje eu saio cedo sem saber...","BRA","24B"
"IRA!","17373","FLERTE FATAL","Tanta gente hoje descansa em paz","BRA","37P"
"IRA!","6332","FLORES EM VOCÊ","De todo o meu passado boas e...","BRA","5G"
"IRA!","6137","LOGO DE CARA","De onde você vem quem...","BRA","5B"
"IRA!","16876","MUDANCA DE COMPORTAMENTO","E aqui estou eu sozinho com o","BRA","34C"
"IRA!","15992","NÚCLEO BASE","Meu amor eu sinto muito muito muito mas vou
","BRA","29A"
"IRA!","6740","O GIRASSOL","Eu tento me erguer às próprias...","BRA","7C"
"IRA!","16496","POBRE PAULISTA","Todos os nao se agitam toda a adolescencia acata","BRA","32B"
"IRA!","17267","PRA FICAR COMIGO (TRAIN IN VAIN) (STAND BY ME)","Sempre estive ao seu lado me diga agora","BRA","37C"
"IRA!","16915","RUBRO ZORRO","O caminho do crime o atrai","BRA","34D"
"IRA!","1754","TARDE VAZIA","Pela janela vejo fumaça vejo...","BRA","19C"
"IRA!","4377","TEOREMA","Não vá embora fique um pouco...","BRA","4C"
"IRA!","15275","TOLICES","São tolices que penso sobre...","BRA","24C"
"IRA!","15840","VIDA PASSAGEIRA","Do alto da montanha ou em um...","BRA","28A"
"IRA! - Pitty","2888","EU QUERO SEMPRE MAIS","A minha vida eu preciso mudar...","BRA","22C"
"Irene Cara","4577","FAME","Baby look at me and tell me...","EUA","USAC"
"Irene Cara","4799","WHAT A FEELING","First, When there's nothing...","EUA","USAG"
"Iron Maiden","19463","FEAR OF THE DARK","I am a man who walks alone
","EUA","INT07D"
"Iron Maiden","19273","THE NUMBER OF THE BEAST","I left alone my mind was blank...","EUA","INT06C"
"Iron Maiden","19519","THE TROOPER","You'll take my life but I'll take yours too
","EUA","INT08A"
"Iron Maiden","2659","WASTING LOVE","Maybe one day I'll be an...","EUA","INT04D"
"Iruka","5145","NAGORI YUKI","Kisha o matsu kimi no yokode...","JAP","JP1"
"Isabella Taviani","15061","A CANÇÃO QUE FALTAVA","Eu não sabia mais sonhar...","BRA","23B"
"Isabella Taviani","17632","CANCAO PARA UM GRANDE AMOR","Mas agora vai deixa o vento te seduzir","BRA","39H"
"Isabella Taviani","9432","DE QUALQUER MANEIRA","Ontem eu vi dentro do teu olhar...","BRA","13B"
"Isabella Taviani","1094","DIGA SIM PRA MIM","Eu pensei em comprar algumas...","BRA","15B"
"Isabella Taviani","1976","DIGITAIS","Eu tava aqui tentando...","BRA","21A"
"Isabella Taviani","15940","ESTRATEGISTA","Eu não sei por quanto tempo ainda vai durar
","BRA","28D"
"Isabella Taviani","15069","EU NÃO MORO NA SUA VIDA","Eu tenho mais o que fazer do...","BRA","23B"
"Isabella Taviani","7970","FOTO POLAROID","Sabe o que me cansa são essas...","BRA","12A"
"Isabella Taviani","7993","LUXÚRIA","Dobro os joelhos quando você...","BRA","12E"
"Isabella Taviani","16747","NAO BRINCA COMIGO","Me faz um favor nao brinca","BRA","33D"
"Isabella Taviani","16147","PRESENTE-PASSADO","Uhh uhhh... Ai essa saudade no meu peito
","BRA","30A"
"Isabella Taviani","16983","SENTIDO CONTRARIO","Tudo o que eu queria agora","BRA","35B"
"Isabella Taviani","7716","ÚLTIMO GRÃO","Não demora agora há tanto pra...","BRA","11B"
"Ishida Ayumi","5109","BLUE LIGHT YOKOHAMA","Mati no akariga...","JAP","JP1"
"Ishihara Junko","2255","FUTARI GAWA","Mi o kiru tsumetasa seken no...","JAP","JP5B"
"Ishihara Junko","2136","HAMA UTA","Oki no kamome ga wakare o...","JAP","JP4D"
"Ishihara Junko","18539","KAZE YO FUKE","Yume to iu na no onna no michi ni","JAP","JP8A"
"Ishihara Junko","5738","KIZUNA ZAKE","Yumemo youdessu anatato...","JAP","JP3"
"Ishihara Junko","5757","MIRENZAKE","Ossake ni sugaru kanashissa...","JAP","JP3"
"Ishihara Junko","2384","ONNA NO NAMIDA","Kami o tokaseba anata no...","JAP","JP5E"
"Ishihara Junko","2196","USUZUMI ZAKURA","Shita e shita e to ne o nobashi...","JAP","JP4E"
"Ishihara Yujiro","5001","AKAI HANKATI","Akashiano hanamo shitade...","JAP","JP1"
"Ishihara Yujiro","5110","BRANDY GLASS","Korede oyoshi yo...","JAP","JP1"
"Ishihara Yujiro","2169","IKI NA WAKARE","Inochi ni owari ga aru koi ni...","JAP","JP4E"
"Ishihara Yujiro","5132","KITA NO TABI BITO","Tadori tsuitara missaki no...","JAP","JP1"
"Ishihara Yujiro","5134","KOI NO MATI SAPPORO","Tokei daí no shita de atte...","JAP","JP1"
"Ishihara Yujiro","5252","MINATO MATI , NAMIDA MATI, WAKARE MATI","Minato mati, wakare mati...","JAP","JP1"
"Ishihara Yujiro","5215","ORENO OTARU","Yuhi tokashita umi ni...","JAP","JP1"
"Ishihara Yujiro","2187","SAYONARA YOKOHAMA","Wakare no yoru o nokoribi no...","JAP","JP4E"
"Ishihara Yujiro","5040","YOGUIRIYO KONYAMO ARIGATO","Shinobiau koio tsutsumu...","JAP","JP1"
"Ishihara Yujiro & Makimura Junko","5005","GUINZA NO KOINO MONOGATARI","(M) - Kokorono sokomade...","JAP","JP1"
"Ishikawa Sayuri","2044","AMAGI GOE","Kakushi kirenai utsuriga ga...","JAP","JP4B"
"Ishikawa Sayuri","5055","HATOBA SHIGURE","Hatoba shigurega furu yoru wa...","JAP","JP1"
"Ishikawa Sayuri","2264","HORETA GA WARUI KA","Karakurenai no higan bana...","JAP","JP5B"
"Ishikawa Sayuri","5063","KANASHIMI HONSEN NIHON KAI","Dokoe kaeruno umidori tatiyo...","JAP","JP1"
"Ishikawa Sayuri","2276","KIGA KAIKYOH","Chirishi ni tsutsunda ashi no...","JAP","JP5B"
"Ishikawa Sayuri","5732","KITA MONOGATARI","Shiroi yukino sanssaro...","JAP","JP3"
"Ishikawa Sayuri","2335","KOI WA TENKA NO MAWARI MONO","Naisho banashi yo uranai san...","JAP","JP5D"
"Ishikawa Sayuri","5742","KOROGARU ISHI","Juugowa muneo wazuratte...","JAP","JP3"
"Ishikawa Sayuri","2055","NAMIDA TSUZURI","Damasaremashita to watashi...","JAP","JP4B"
"Ishikawa Sayuri","18505","NINGEN MOYOU","Johzu ni kudoite kureta nara...","JAP","JP7D"
"Ishikawa Sayuri","2386","OSAKA NO ONNA","Osake nomanakya ii hito...","JAP","JP5E"
"Ishikawa Sayuri","2074","OSAKA TSUBAME","Ame no furu yo wa hito...","JAP","JP4B"
"Ishikawa Sayuri","18556","TEN NO YUGAO","Yuhgao no hana kage ni anata o","JAP","JP8A"
"Ishikawa Sayuri","5035","TSUGARU KAIKYOU FUYUGUESHIKI","Uenohatsuno yakoureshan...","JAP","JP1"
"Ishikawa Sayuri","5849","YUME NO UKI HASHI","Chiranu koidemo...","JAP","JP3"
"Ishimine Satoko","5667","AOZORA","Koibito tatide niguiwan mati...","JAP","JP3"
"Ishimine Satoko","5367","HANA","Kawa wa nagarete doko doko...","JAP","JP2"
"Ishimine Satoko","2353","SHINE","Kanashikunai no ni naita...","JAP","JP5D"
"Israel e Rodolffo","18012","ARRUMA UM BAO","As vezes paro pra pensar se eu sou tão ruim","BRA","41P"
"Israel e Rodolffo","17112","BATOM DE CEREJA","Parei pensei quase travei","BRA","36A"
"Israel e Rodolffo","17512","CHEGOU UM AUDIO","Mandei to com saudade e ja me arrependi","BRA","38M"
"Israel e Rodolffo","17453","EU OU EU","Vai demorar uma vida toda pra fazer com outra","BRA","38F"
"Israel e Rodolffo","17074","FECHA O PORTA MALAS","E mais um gole de cerveja que desce","BRA","35D"
"Israel e Rodolffo","17537","MELHOR QUE MUITA GENTE (O COPO NAO MENTE)","Eu vou ter que falar que o som desse barzinho","BRA","38P"
"Israel e Rodolffo","17750","VOLTOU COM QUEM NAO VOLTAVA","Ruim de terminar e falar mal do outro e se","BRA","40C"
"Israel e Rodolffo - Ana Castela","17673","BOMBONZINHO","Por que tudo que eu quero ou e proibido ou","BRA","39M"
"Israel e Rodolffo - Edson e Hudson","17191","CASA MOBILIADA","Tropecei na sua beleza","BRA","36J"
"Israel e Rodolffo - Jorge e Mateus","17265","MARCA EVIDENTE","Sentimento dividido no tempo perdido","BRA","37C"
"Israel e Rodolffo - Jorge e Mateus","17725","PERDOOU NADA","Voce ouviu da minha boca","BRA","40A"
"Israel e Rodolffo - Maiara e Maraisa","17496","NEM NAMORADO E NEM FICANTE","Sem definir sem rotular a gente segue se","BRA","38K"
"Israel e Rodolffo - Mari Fernandez","17699","SEU BRILHO SUMIU","Terminou espalhou pra todo mundo","BRA","39P"
"Israel e Rodolffo - Matheuzinho","17230","SO DE SACANAGEM","Ta achando que ta enganando quem","BRA","36M"
"Israel e Rodolffo - MC Kevinho","17346","QUEM PERDEU QUE CHORE","Voce me abandonou voce me deu um fora","BRA","37L"
"Israel e Rodolffo - Wesley Safadão","17183","FAZ AMOR COMIGO SO HOJE","Sinto saudades do seu corpo nu no espelho","BRA","36H"
"Israell Muniz - Wesley Safadão","17064","EU VOU TIRAR VOCE DO CABARE","Arrume a sua mala que eu vim pra tira voce","BRA","35D"
"Israel Novaes","16336","A MOÇA NÃO ME QUER","Eu tô querendo a moça mas a moça não me ","BRA","31B"
"Israel Novaes","15524","CANÇÃO PERFEITA","Eu já falei de amor já escrevi...","BRA","26B"
"Israel Novaes","15319","VÓ, TÔ ESTOURADO!","Alô vó tô estourado vó tô...","BRA","24D"
"Israel Novaes - Gusttavo Lima","15856","O SOFRENCIA","Ta vendo quem mandou...","BRA","28B"
"Israel Novaes - Gusttavo Lima","2879","VEM NI MIM DODGE RAM","Vem ni mim Dodge Ram...","BRA","22C"
"Israel Novaes - Jorge e Mateus","15797","VAI ENTENDER","Pensei muito pra falar tudo...","BRA","27D"
"Israel Novaes - Psirico","15476","TCHACA","Quando ela começa a arrochar...","BRA","25D"
"Israel Novaes - Wesley Safadão","16776","LAPADA DE SAUDADE","Seis horas da manha","BRA","34A"
"Israel Novaes - Wesley Safadão","15998","VOCÊ MERECE CACHÊ","Só faltou botar uma bolinha vermelhinha em meu
","BRA","29A"
"Itamar Assumpção","1382","FICO LOUCO","Fico louco faço cara de mau...","BRA","17B"
"Ito Hisao","18405","AZAMI NO UTA","Yama ni wa yama no urei ari...","JAP","JP7B"
"Itoh Yuna","18323","ALONE AGAIN","Anata dake ima miteru moh...","JAP","JP6D"
"Itoh Yuna","2205","ENDLESS STORY","If you haven't changed your...","JAP","JP5A"
"Itoh Yuna","2092","PRECIOUS","Kokoro ga mienakute fuan...","JAP","JP4C"
"Itoh Yuna","18637","WISH","I remember ima demo oboete iru","JAP","JP8C"
"Itoh Yuna & Celine Dion","18363","ANATA GA IRU KAGIRI ~ A WORLD TO BELIEVE IN","I've seen the tears and the...","JAP","JP7A"
"Ito Yukari","2374","KOYUBI NO OMOIDE","Anata ga kanda koyubi ga...","JAP","JP5E"
"Itsuki Hiroshi","2041","ACACIA BANKA","Kiri no furu yoru mo ame no...","JAP","JP4B"
"Itsuki Hiroshi","2241","AETE YOKOHAMA","Naku no wa oyoshi yo aeta...","JAP","JP5B"
"Itsuki Hiroshi","5317","AITAKATTAZE","Aitakattaze sannen buri…","JAP","JP2"
"Itsuki Hiroshi","2063","AJISAI","Furi shikiru...","JAP","JP4B"
"Itsuki Hiroshi","2246","AKAI HANA","Kinoh no yume o oikakete...","JAP","JP5B"
"Itsuki Hiroshi","18242","AKARI GA HOSHII","Hikage sodachi no kono ore ga...","JAP","JP6B"
"Itsuki Hiroshi","5275","ARU AI NO UTA (LOVE STORY)","Shinayaka ni...","JAP","JP1"
"Itsuki Hiroshi","5335","BENIBANA","Onna gokorowo yasashiku…","JAP","JP2"
"Itsuki Hiroshi","2249","BOJOO","Love aiwa ima demo saki...","JAP","JP5B"
"Itsuki Hiroshi","2047","CHIKUMAGAWA","Mizu no nagare ni hanabira o...","JAP","JP4B"
"Itsuki Hiroshi","2254","FURUSATO NO HITO","Tooi mukashi ni aruita michi...","JAP","JP5B"
"Itsuki Hiroshi","5364","HAHA BITOYO","Umi ga haha nareba…","JAP","JP2"
"Itsuki Hiroshi","18456","HASHIBA NO WATASHI","Semi wa mihka de hotaru wa...","JAP","JP7C"
"Itsuki Hiroshi","2007","ITEZURU","Kitano sakaba de nomu sake...","JAP","JP4A"
"Itsuki Hiroshi","5060","ITOSHIKI HIBI","Kazeno nagareno hagueshisani...","JAP","JP1"
"Itsuki Hiroshi","5007","IZAKAYA","(H) - Moshimo kiraide nakatara...","JAP","JP1"
"Itsuki Hiroshi","2271","JINSEI KAKURENBO","Horete itan da omae ni dake...","JAP","JP5B"
"Itsuki Hiroshi","5723","KASAN NAKA","Amewa yabodashi higurewa...","JAP","JP3"
"Itsuki Hiroshi","2069","KAZE NI FUKARETE KIKOERU UTA WA","Hitorine ni narenakute hizakozo...","JAP","JP4B"
"Itsuki Hiroshi","5733","KITA MONOGATARI","Aino kippuo sutete shimatte...","JAP","JP3"
"Itsuki Hiroshi","5399","KITEKI","Kona yuki maikomu kitaguni...","JAP","JP2"
"Itsuki Hiroshi","5743","KYOTO KOI UTA","Shinshin yukino o harao...","JAP","JP3"
"Itsuki Hiroshi","18342","MACHI","Koko de umareta koko de...","JAP","JP6D"
"Itsuki Hiroshi","2150","MEGURIAI","Tsurai koto nado nannimo nai...","JAP","JP4D"
"Itsuki Hiroshi","2343","MINATO NO GOBANCHOH","Minato minato no machi de...","JAP","JP5D"
"Itsuki Hiroshi","5021","NAGARA GAWA ENKA","Mizu ni kirameku kagari hi wa...","JAP","JP1"
"Itsuki Hiroshi","2071","NAGISA NO ONNA","Aitaku nattara hitori de umi...","JAP","JP4B"
"Itsuki Hiroshi","2056","NANIWA SAKAZUKI","Yakusoku no...","JAP","JP4B"
"Itsuki Hiroshi","5436","NOREN","Kokoroni potsuntto…","JAP","JP2"
"Itsuki Hiroshi","5771","OFUKURO NO KOMORIUTA","Odoma bonguiri bonguiri...","JAP","JP3"
"Itsuki Hiroshi","2090","OHAN","Damashite kudasai saigo made...","JAP","JP4C"
