"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Agnaldo Timóteo","7283","A CASA DO SOL NASCENTE","A casa dos meus sonhos é feita de ilusão","BRA","10C"
"Agnaldo Timóteo","7287","A GALERIA DO AMOR","Numa noite de insônia saí procurando emoções","BRA","10A"
"Agnaldo Timóteo","6884","A NOIVA","Ave Maria... Branca e radiante vai a noiva","BRA","8B"
"Agnaldo Timóteo","17146","ETIQUETAS","Vem me faz feliz por um momento apenas","BRA","36D"
"Agnaldo Timóteo","7166","LIVRE","Livre... Livre nasci como a brisa que as praias","BRA","9B"
"Agnaldo Timóteo","1688","MAMÃE ESTOU TÃO FELIZ","Mamãe estou tão feliz porque voltei","BRA","19B"
"Agnaldo Timóteo","4399","MEU GRITO","Se eu demoro mais aqui eu vou morrer","BRA","4D"
"Agnaldo Timóteo","6947","NÃO MEREÇO VOCÊ","Não mereço você sei que vou me afasta","BRA","8A"
"Agnaldo Timóteo","6959","OS BRUTOS TAMBÉM AMAM","Você jamais vai entender o amor que e","BRA","8A"
"Agnaldo Timóteo","6503","OS VERDES CAMPOS DA MINHA TERRA","Se algum dia à minha terra eu voltar","BRA","6C"
"Agnaldo Timóteo","4370","QUEM É","Quem é que não sofre por alguém","BRA","4C"
"Agnaldo Timóteo","15621","QUEM SERÁ?","Amor só se dá se amor se ganha também","BRA","26D"
"Agnela","1150","PODIA SER","Não sei porque você não quis ligar","BRA","15C"
"Agostinho dos Santos","4221","A FELICIDADE","Tristeza não tem fim felicidade ","BRA","3H"
"Agostinho dos Santos","7301","AQUELES OLHOS VERDES","Aqueles olhos verdes translúcidos...","BRA","10D"
"Agostinho dos Santos","9695","MANHÃ DE CARNAVAL","Manhã tão bonita manhã na vida uma nova","BRA","14A"
"Agridoce (Pitty)","15202","130 ANOS","Caro é transformar-se num arremendo de si próprio","BRA","24B"
"Agridoce (Pitty)","2792","DANÇANDO","Eu sei que lá no fundo ...","BRA","22A"
"A-Ha","20094","CRYING IN THE RAIN","Ill never let you see","EUA","INT11D"
"A-Ha","19213","HUNTING HIGH AND LOW","Here I am and within the reach","EUA","INT06B"
